slot_index,time_label,delivery_interval,clock_minute,is_next_day,price_source_row_index,price_source_time_label,demand_source_row_index,demand_source_time_label,result_row_index,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,grid_purchase_kwh,charge_kwh,discharge_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,interval_cost_yuan,primary_balance_shadow_price_yuan_per_kwh,primary_storage_water_value_yuan_per_kwh,primary_soc_lower_shadow_value_yuan_per_kwh,primary_soc_upper_shadow_value_yuan_per_kwh,block
29,04:40,04:40-04:50,280,False,28,04:40,29,04:50,28,0.4393000000,3586.9160000000,0.2345000000,597.8193333333,0.0390833333,597.7802500000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,262.6048638250,0.4393000000,0.4751111111,0.0000000000,0.0000000000,4:00-8:00
30,04:50,04:50-05:00,290,False,29,04:50,30,05:00,29,0.4422000000,3571.2635000000,0.2885000000,595.2105833333,0.0480833333,595.1625000000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,263.1808575000,0.4422000000,0.4751111111,0.0000000000,0.0000000000,4:00-8:00
31,05:00,05:00-05:10,300,False,30,05:00,31,05:10,30,0.4395000000,3562.3171000000,18.6781000000,593.7195166667,3.1130166667,590.6065000000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,259.5715567500,0.4395000000,0.4751111111,0.0000000000,0.0000000000,4:00-8:00
32,05:10,05:10-05:20,310,False,31,05:10,32,05:20,31,0.4333000000,3591.3809000000,54.4698000000,598.5634833333,9.0783000000,589.4851833333,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,255.4239299383,0.4333000000,0.4751111111,0.0000000000,0.0000000000,4:00-8:00
33,05:20,05:20-05:30,320,False,32,05:20,33,05:30,32,0.4439000000,3579.7045000000,108.9718000000,596.6174166667,18.1619666667,578.4554500000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,256.7763742550,0.4439000000,0.4751111111,0.0000000000,0.0000000000,4:00-8:00
34,05:30,05:30-05:40,330,False,33,05:30,34,05:40,33,0.4301000000,3486.1190000000,184.1603000000,581.0198333333,30.6933833333,550.3264500000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,236.6954061450,0.4301000000,0.4751111111,0.0000000000,0.0000000000,4:00-8:00
35,05:40,05:40-05:50,340,False,34,05:40,35,05:50,34,0.3713000000,3823.8994000000,277.0582000000,637.3165666667,46.1763666667,1424.4735333333,833.3333333333,0.0000000000,0.0000000000,10050.0000000000,10800.0000000000,528.9070229267,0.3713000000,0.4751111111,0.0000000000,0.0386088889,4:00-8:00
36,05:50,05:50-06:00,350,False,35,05:50,36,06:00,35,0.5708000000,4398.0727000000,388.5494000000,733.0121166667,64.7582333333,668.2538833333,0.0000000000,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,381.4393166067,0.5708000000,0.5137200000,0.0000000000,0.0042800000,4:00-8:00
37,06:00,06:00-06:10,360,False,36,06:00,37,06:10,36,0.9099000000,4454.0123000000,521.2803000000,742.3353833333,86.8800500000,0.0000000000,0.0000000000,655.4553333333,0.0000000000,10800.0000000000,10071.7162962963,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,4:00-8:00
38,06:10,06:10-06:20,370,False,37,06:10,38,06:20,37,0.9368000000,4371.7919000000,672.7677000000,728.6319833333,112.1279500000,0.0000000000,0.0000000000,616.5040333333,0.0000000000,10071.7162962963,9386.7118148148,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,4:00-8:00
39,06:20,06:20-06:30,380,False,38,06:20,39,06:30,38,0.8758000000,4392.9530000000,844.2261000000,732.1588333333,140.7043500000,0.0000000000,0.0000000000,591.4544833333,0.0000000000,9386.7118148148,8729.5401666667,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,4:00-8:00
40,06:30,06:30-06:40,390,False,39,06:30,40,06:40,39,0.8759000000,4384.5956000000,1039.6744000000,730.7659333333,173.2790666667,0.0000000000,0.0000000000,557.4868666667,0.0000000000,8729.5401666667,8110.1103148148,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,4:00-8:00
41,06:40,06:40-06:50,400,False,40,06:40,41,06:50,40,0.8601000000,4434.7757000000,1259.3375000000,739.1292833333,209.8895833333,0.0000000000,0.0000000000,529.2397000000,0.0000000000,8110.1103148148,7522.0662037037,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,4:00-8:00
42,06:50,06:50-07:00,410,False,41,06:50,42,07:00,41,0.8442000000,4523.4561000000,1508.6318000000,753.9093500000,251.4386333333,0.0000000000,0.0000000000,502.4707166667,0.0000000000,7522.0662037037,6963.7654074074,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,4:00-8:00
43,07:00,07:00-07:10,420,False,42,07:00,43,07:10,42,0.8334000000,4524.0721000000,1791.4107000000,754.0120166667,298.5684500000,0.0000000000,0.0000000000,455.4435666667,0.0000000000,6963.7654074074,6457.7170000000,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,4:00-8:00
44,07:10,07:10-07:20,430,False,43,07:10,44,07:20,43,0.8092000000,4545.8867000000,2085.4865000000,757.6477833333,347.5810833333,0.0000000000,0.0000000000,410.0667000000,0.0000000000,6457.7170000000,6002.0873333333,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,4:00-8:00
45,07:20,07:20-07:30,440,False,44,07:20,45,07:30,44,0.7972000000,4523.2418000000,2381.2611000000,753.8736333333,396.8768500000,0.0000000000,0.0000000000,356.9967833333,0.0000000000,6002.0873333333,5605.4242407407,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,4:00-8:00
46,07:30,07:30-07:40,450,False,45,07:30,46,07:40,45,0.7644000000,4383.3566000000,2683.1752000000,730.5594333333,447.1958666667,0.0000000000,0.0000000000,283.3635666667,0.0000000000,5605.4242407407,5290.5758333333,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,4:00-8:00
47,07:40,07:40-07:50,460,False,46,07:40,47,07:50,46,0.6899000000,4910.4599000000,2986.3552000000,818.4099833333,497.7258666667,0.0000308239,0.0000000000,320.6840858428,0.0000000000,5290.5758333333,4934.2601823969,0.0000212654,0.5755555556,0.5180000000,0.0000000000,0.0000000000,4:00-8:00
48,07:50,07:50-08:00,470,False,47,07:50,48,08:00,47,0.8600000000,5799.7327000000,3289.2040000000,966.6221166667,548.2006666667,0.0000000000,0.0000000000,418.4214500000,0.0000000000,4934.2601823969,4469.3474601747,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,4:00-8:00
49,08:00,08:00-08:10,480,False,48,08:00,49,08:10,48,1.1617000000,5884.8260000000,3593.3613000000,980.8043333333,598.8935500000,0.0000000000,0.0000000000,381.9107833333,0.0000000000,4469.3474601747,4045.0021453598,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
50,08:10,08:10-08:20,490,False,49,08:10,50,08:20,49,1.1683000000,5748.0713000000,3890.7332000000,958.0118833333,648.4555333333,0.0000000000,0.0000000000,309.5563500000,0.0000000000,4045.0021453598,3701.0506453598,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
51,08:20,08:20-08:30,500,False,50,08:20,51,08:30,50,1.0956000000,5769.0581000000,4181.3417000000,961.5096833333,696.8902833333,0.0000000000,0.0000000000,264.6194000000,0.0000000000,3701.0506453598,3407.0290898043,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
52,08:30,08:30-08:40,510,False,51,08:30,52,08:40,51,1.0849000000,5754.2105000000,4471.7657000000,959.0350833333,745.2942833333,0.0000000000,0.0000000000,213.7408000000,0.0000000000,3407.0290898043,3169.5393120265,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
53,08:40,08:40-08:50,520,False,52,08:40,53,08:50,52,1.0610000000,5824.1807000000,4752.8272000000,970.6967833333,792.1378666667,0.0000000000,0.0000000000,178.5589166667,0.0000000000,3169.5393120265,2971.1405157302,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
54,08:50,08:50-09:00,530,False,53,08:50,54,09:00,53,1.0430000000,5954.2601000000,5021.9074000000,992.3766833333,836.9845666667,0.0000000000,0.0000000000,155.3921166667,0.0000000000,2971.1405157302,2798.4826083228,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
55,09:00,09:00-09:10,540,False,54,09:00,55,09:10,54,1.0360000000,5958.9696000000,5285.4126000000,993.1616000000,880.9021000000,0.0000000000,0.0000000000,112.2595000000,0.0000000000,2798.4826083228,2673.7498305450,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
56,09:10,09:10-09:20,550,False,55,09:10,56,09:20,55,1.0147000000,5929.5554000000,5543.1742000000,988.2592333333,923.8623666667,0.0000000000,0.0000000000,64.3968666667,0.0000000000,2673.7498305450,2602.1977564710,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
57,09:20,09:20-09:30,560,False,56,09:20,57,09:30,56,0.9922000000,5923.7828000000,5788.4093000000,987.2971333333,964.7348833333,0.0000000000,0.0000000000,22.5622500000,0.0000000000,2602.1977564710,2577.1285898043,0.0000000000,0.5755555556,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
58,09:30,09:30-09:40,570,False,57,09:30,58,09:40,57,0.9700000000,5907.5860000000,6012.1304000000,984.5976666667,1002.0217333333,0.0000000000,17.4240666667,0.0000000000,0.0000000000,2577.1285898043,2592.8102498043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
59,09:40,09:40-09:50,580,False,58,09:40,59,09:50,58,0.9422000000,5899.1262000000,6216.1528000000,983.1877000000,1036.0254666667,0.0000000000,52.8377666667,0.0000000000,0.0000000000,2592.8102498043,2640.3642398043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
60,09:50,09:50-10:00,590,False,59,09:50,60,10:00,59,0.9569000000,5902.2196000000,6409.5941000000,983.7032666667,1068.2656833333,0.0000000000,84.5624166667,0.0000000000,0.0000000000,2640.3642398043,2716.4704148043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
61,10:00,10:00-10:10,600,False,60,10:00,61,10:10,60,0.9977000000,5897.4793000000,6599.3808000000,982.9132166667,1099.8968000000,0.0000000000,116.9835833333,0.0000000000,0.0000000000,2716.4704148043,2821.7556398043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
62,10:10,10:10-10:20,610,False,61,10:10,62,10:20,61,0.9919000000,5886.7568000000,6766.7204000000,981.1261333333,1127.7867333333,0.0000000000,146.6606000000,0.0000000000,0.0000000000,2821.7556398043,2953.7501798043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
63,10:20,10:20-10:30,620,False,62,10:20,63,10:30,62,0.9588000000,5873.4708000000,6914.5923000000,978.9118000000,1152.4320500000,0.0000000000,173.5202500000,0.0000000000,0.0000000000,2953.7501798043,3109.9184048043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
64,10:30,10:30-10:40,630,False,63,10:30,64,10:40,63,0.9549000000,5858.0308000000,7064.2053000000,976.3384666667,1177.3675500000,0.0000000000,201.0290833333,0.0000000000,0.0000000000,3109.9184048043,3290.8445798043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
65,10:40,10:40-10:50,640,False,64,10:40,65,10:50,64,0.9839000000,5844.9948000000,7197.4315000000,974.1658000000,1199.5719166667,0.0000000000,225.4061166667,0.0000000000,0.0000000000,3290.8445798043,3493.7100848043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
66,10:50,10:50-11:00,650,False,65,10:50,66,11:00,65,0.7990000000,5839.0587000000,7303.1142000000,973.1764500000,1217.1857000000,0.0000000000,244.0092500000,0.0000000000,0.0000000000,3493.7100848043,3713.3184098043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
67,11:00,11:00-11:10,660,False,66,11:00,67,11:10,66,0.5025000000,5838.7103000000,7387.6848000000,973.1183833333,1231.2808000000,0.0000000000,258.1624166667,0.0000000000,0.0000000000,3713.3184098043,3945.6645848043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
68,11:10,11:10-11:20,670,False,67,11:10,68,11:20,67,0.4662000000,5823.4378000000,7459.2270000000,970.5729666667,1243.2045000000,0.0000000000,272.6315333333,0.0000000000,0.0000000000,3945.6645848043,4191.0329648043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
69,11:20,11:20-11:30,680,False,68,11:20,69,11:30,68,0.5007000000,5814.7932000000,7520.7191000000,969.1322000000,1253.4531833333,0.0000000000,284.3209833333,0.0000000000,0.0000000000,4191.0329648043,4446.9218498043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
70,11:30,11:30-11:40,690,False,69,11:30,70,11:40,69,0.4827000000,5832.3951000000,7568.2039000000,972.0658500000,1261.3673166667,0.0000000000,289.3014666667,0.0000000000,0.0000000000,4446.9218498043,4707.2931698043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
71,11:40,11:40-11:50,700,False,70,11:40,71,11:50,70,0.4785000000,5712.9010000000,7592.1539000000,952.1501666667,1265.3589833333,0.0000000000,313.2088166667,0.0000000000,0.0000000000,4707.2931698043,4989.1811048043,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
72,11:50,11:50-12:00,710,False,71,11:50,72,12:00,71,0.4662000000,5519.4607000000,7601.0433000000,919.9101166667,1266.8405500000,407.1891057730,754.1195391063,0.0000000000,0.0000000000,4989.1811048043,5667.8886900000,189.8315611114,0.4662000000,0.5180000000,0.0000000000,0.0000000000,8:00-12:00
73,12:00,12:00-12:10,720,False,72,12:00,73,12:10,72,0.4432000000,5494.7907000000,7612.3160000000,915.7984500000,1268.7193333333,480.4124500000,833.3333333333,0.0000000000,0.0000000000,5667.8886900000,6417.8886900000,212.9187978400,0.4432000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
74,12:10,12:10-12:20,730,False,73,12:10,74,12:20,73,0.4411000000,5514.4524000000,7602.6524000000,919.0754000000,1267.1087333333,485.3000000000,833.3333333333,0.0000000000,0.0000000000,6417.8886900000,7167.8886900000,214.0658300000,0.4411000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
75,12:20,12:20-12:30,740,False,74,12:20,75,12:30,74,0.4551000000,5485.8290000000,7554.1872000000,914.3048333333,1259.0312000000,488.6069666667,833.3333333333,0.0000000000,0.0000000000,7167.8886900000,7917.8886900000,222.3650305300,0.4551000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
76,12:30,12:30-12:40,750,False,75,12:30,76,12:40,75,0.4463000000,5462.3628000000,7472.7384000000,910.3938000000,1245.4564000000,498.2707333333,833.3333333333,0.0000000000,0.0000000000,7917.8886900000,8667.8886900000,222.3782282867,0.4463000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
77,12:40,12:40-12:50,760,False,76,12:40,77,12:50,76,0.4113000000,5566.1066000000,7393.4172000000,927.6844333333,1232.2362000000,528.7815666667,833.3333333333,0.0000000000,0.0000000000,8667.8886900000,9417.8886900000,217.4878583700,0.4113000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
78,12:50,12:50-13:00,770,False,77,12:50,78,13:00,77,0.5682000000,5725.7548000000,7312.7979000000,954.2924666667,1218.7996500000,0.0000000000,264.5071833333,0.0000000000,0.0000000000,9417.8886900000,9655.9451550000,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
79,13:00,13:00-13:10,780,False,78,13:00,79,13:10,78,0.8279000000,5739.4957000000,7194.5410000000,956.5826166667,1199.0901666667,0.0000000000,242.5075500000,0.0000000000,0.0000000000,9655.9451550000,9874.2019500000,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
80,13:10,13:10-13:20,790,False,79,13:10,80,13:20,79,0.8636000000,5714.6836000000,7053.1371000000,952.4472666667,1175.5228500000,0.0000000000,223.0755833333,0.0000000000,0.0000000000,9874.2019500000,10074.9699750000,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
81,13:20,13:20-13:30,800,False,80,13:20,81,13:30,80,0.8416000000,5717.8505000000,6910.4064000000,952.9750833333,1151.7344000000,0.0000000000,198.7593166667,0.0000000000,0.0000000000,10074.9699750000,10253.8533600000,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
82,13:30,13:30-13:40,810,False,81,13:30,82,13:40,81,0.8618000000,5708.2486000000,6772.4075000000,951.3747666667,1128.7345833333,0.0000000000,177.3598166667,0.0000000000,0.0000000000,10253.8533600000,10413.4771950000,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
83,13:40,13:40-13:50,820,False,82,13:40,83,13:50,82,0.8623000000,5696.9182000000,6607.3600000000,949.4863666667,1101.2266666667,0.0000000000,151.7403000000,0.0000000000,0.0000000000,10413.4771950000,10550.0434650000,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
84,13:50,13:50-14:00,830,False,83,13:50,84,14:00,83,0.9026000000,5692.2983000000,6412.5085000000,948.7163833333,1068.7514166667,0.0000000000,120.0350333333,0.0000000000,0.0000000000,10550.0434650000,10658.0749950000,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
85,14:00,14:00-14:10,840,False,84,14:00,85,14:10,84,0.9754000000,5687.1291000000,6214.0158000000,947.8548500000,1035.6693000000,0.0000000000,87.8144500000,0.0000000000,0.0000000000,10658.0749950000,10737.1080000000,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
86,14:10,14:10-14:20,850,False,85,14:10,86,14:20,85,1.0002000000,5678.9620000000,6000.7112000000,946.4936666667,1000.1185333333,0.0000000000,53.6248666667,0.0000000000,0.0000000000,10737.1080000000,10785.3703800000,0.0000000000,0.4662000000,0.5180000000,0.0000000000,0.0000000000,12:00-16:00
