slot_index,observation_time_label,load_actual_kw_mean,load_actual_kw_std,load_actual_kw_min,load_actual_kw_max,pv_actual_kw_mean,pv_actual_kw_std,pv_actual_kw_min,pv_actual_kw_max,net_load_actual_kw_mean,net_load_actual_kw_std,net_load_actual_kw_min,net_load_actual_kw_max,price_fixed_yuan_per_kwh_mean,price_fixed_yuan_per_kwh_std,price_fixed_yuan_per_kwh_min,price_fixed_yuan_per_kwh_max,price_variable_yuan_per_kwh_mean,price_variable_yuan_per_kwh_std,price_variable_yuan_per_kwh_min,price_variable_yuan_per_kwh_max
15,02:30,3516.8684657534245,527.7954972380708,2280.54,4900.09,0.0,0.0,0.0,0.0,3516.8684657534245,527.7954972380708,2280.54,4900.09,0.4324,0.0,0.4324,0.4324,0.4323580821917808,0.06319280432367223,0.2464,0.5963
16,02:40,3517.924567945205,520.3853501569266,2391.961,4797.506,0.0,0.0,0.0,0.0,3517.924567945205,520.3853501569266,2391.961,4797.506,0.4367,0.0,0.4367,0.4367,0.43668027397260273,0.05863726775911718,0.2314,0.6131
17,02:50,3518.551812328767,521.5724398130226,2435.0377,4652.5714,0.0,0.0,0.0,0.0,3518.551812328767,521.5724398130226,2435.0377,4652.5714,0.4348,0.0,0.4348,0.4348,0.43480712328767124,0.05713581759646114,0.2588,0.5786
18,03:00,3521.097616438356,524.231800664119,2395.78,4932.87,0.0,0.0,0.0,0.0,3521.097616438356,524.231800664119,2395.78,4932.87,0.4335,0.0,0.4335,0.4335,0.4335205479452055,0.05888139260669137,0.2797,0.5925
19,03:10,3526.926095068493,509.2989272415961,2439.6319,4544.2902,0.00017534246575342467,0.00047595503236604476,0.0,0.0019,3526.925919726027,509.29887761222045,2439.6319,4544.289000000001,0.4357,0.0,0.4357,0.4357,0.4357235616438356,0.05980279031147364,0.2622,0.588
20,03:20,3537.2853967123287,510.2379635730372,2482.3129,4620.1067,3.9726027397260274e-05,0.00022807105964870887,0.0,0.0016,3537.2853569863014,510.2379627632312,2482.3129,4620.1067,0.4374,0.0,0.4374,0.4374,0.43741835616438357,0.05736537817076602,0.282,0.5919
21,03:30,3544.8808493150686,523.1598663091278,2371.33,4649.58,0.0,0.0,0.0,0.0,3544.8808493150686,523.1598663091278,2371.33,4649.58,0.43709999999999993,0.0,0.4371,0.4371,0.43707972602739725,0.058200877272678184,0.2882,0.5717
22,03:40,3541.278698630137,519.8596101477028,2419.1498,4586.2504,0.003056986301369863,0.006787940721921289,0.0,0.0266,3541.2756416438356,519.8589556629105,2419.1498,4586.226,0.4356,0.0,0.4356,0.4356,0.4356424657534247,0.06021160013325216,0.2466,0.5719
23,03:50,3546.3976487671234,503.60123491809907,2388.8321,4664.7235,0.001176986301369863,0.003804005510726293,0.0,0.0218,3546.3964717808217,503.6011314926126,2388.8321,4664.7235,0.4353,0.0,0.4353,0.4353,0.43526904109589043,0.057763673519553645,0.2902,0.5899
24,04:00,3560.2070136986304,501.5591747763378,2441.28,4706.46,0.0,0.0,0.0,0.0,3560.2070136986304,501.5591747763378,2441.28,4706.46,0.43599999999999994,0.0,0.436,0.436,0.43601917808219176,0.055868324041362896,0.3021,0.5657
25,04:10,3561.95808109589,508.28524739248303,2403.4578,4521.5007,0.04300739726027397,0.09441918473027719,0.0,0.3708,3561.9150736986303,508.28178315939084,2403.1982000000003,4521.3242,0.43779999999999997,0.0,0.4378,0.4378,0.4378254794520548,0.05934099293423219,0.2919,0.5849
26,04:20,3556.718350410959,513.4425382442085,2440.3722,4555.1626,0.016804931506849315,0.052893223124862644,0.0,0.3034,3556.7015454794523,513.4409285296503,2440.3722,4555.1626,0.44009999999999994,0.0,0.4401,0.4401,0.4401183561643836,0.05769795373687226,0.2941,0.5815
27,04:30,3560.027205479452,513.2224864716968,2404.64,4501.07,0.0,0.0,0.0,0.0,3560.027205479452,513.2224864716968,2404.64,4501.07,0.4389,0.0,0.4389,0.4389,0.43885315068493147,0.05741687945512703,0.2996,0.5749
28,04:40,3580.6539621917805,508.67733374213327,2363.9012,4468.813,0.5993561643835617,1.3149468122559829,0.0,5.1641,3580.0546060273973,508.6504573909918,2363.8673,4464.3312000000005,0.4364,0.0,0.4364,0.4364,0.4363734246575342,0.05999824475956367,0.272,0.5728
29,04:50,3586.915965753424,502.54054721282023,2509.1585,4509.0492,0.23451835616438355,0.7365539748561618,0.0,4.2252,3586.6814473972604,502.5481863128292,2509.1585,4509.0492,0.4393,0.0,0.4393,0.4393,0.43928410958904107,0.0603573330995419,0.292,0.5881
30,05:00,3571.2634794520545,500.72297396216925,2495.83,4640.3,0.2884931506849315,1.375109370008773,0.0,10.0125,3570.9749863013703,500.8094086567677,2495.83,4640.3,0.4422,0.0,0.4422,0.4422,0.4422408219178082,0.05744395600705247,0.2848,0.5909
31,05:10,3562.317054794521,514.5326210837463,2484.2122,4530.9293,18.678091506849313,40.8056811106186,0.0,157.2547,3543.6389632876712,516.7957759928453,2343.8573,4530.928199999999,0.43949999999999995,0.0,0.4395,0.4395,0.43950356164383564,0.05710122603545718,0.2925,0.5822
32,05:20,3591.380909041096,524.4214703922543,2507.0845,4625.0674,54.46981589041096,102.13725763620103,0.0,343.8012,3536.9110931506852,535.9547613364822,2247.8275000000003,4625.0579,0.4333,0.0,0.4333,0.4333,0.4332564383561644,0.05872795909605186,0.2785,0.5628
33,05:30,3579.7045479452054,496.0126313546111,2448.18,4503.04,108.97181506849316,179.78664964144593,0.0,548.7,3470.7327328767124,530.3540230408152,2033.7250000000001,4503.04,0.4439,0.0,0.4439,0.4439,0.44385479452054794,0.06043101516363649,0.2774,0.5636
34,05:40,3486.1190468493155,444.6333568703718,2521.6228,4357.9975,184.16027835616438,267.5958966891411,0.0,787.7757,3301.9587684931507,525.3064318779969,1838.8421000000003,4357.964800000001,0.43010000000000004,0.0,0.4301,0.4301,0.4300843835616438,0.059196321281470426,0.26,0.6005
35,05:50,3823.899358356164,637.7378393716799,2549.367,4894.6373,277.05815561643834,365.2280088857035,0.0,1033.9151,3546.841202739726,743.960953919729,1675.1681,4894.6373,0.3713000000000001,0.0,0.3713,0.3713,0.3712602739726027,0.055842756915509946,0.2269,0.5007
36,06:00,4398.072712328767,988.1743625878303,2457.33,5690.36,388.5494178082192,469.11959129493897,0.0,1316.925,4009.523294520548,1105.827816727497,1454.3225,5676.45,0.5708,0.0,0.5708,0.5708,0.5708342465753424,0.07515074926545189,0.3734,0.7143
37,06:10,4454.012273424658,1029.7694330436339,2478.893,5738.8011,521.280288219178,573.8174429355524,0.0,1587.9508,3932.7319852054793,1201.134437608858,1136.0627,5738.3732,0.9098999999999999,0.0,0.9099,0.9099,0.9098520547945206,0.11037333338453897,0.6538,1.0933
38,06:20,4371.791907945206,968.7580585070068,2463.2414,5695.3891,672.7677304109588,679.6973009203598,0.0,1915.1033,3699.0241775342465,1226.8592900737465,869.1382999999998,5695.3891,0.9367999999999999,0.0,0.9368,0.9368,0.9368282191780821,0.11848644958161803,0.6631,1.1569
39,06:30,4392.952958904109,979.898307601978,2410.13,5687.57,844.226095890411,783.5163043160737,0.0,2216.4375,3548.7268630136987,1318.8366449171892,451.20500000000015,5687.57,0.8758000000000001,0.0,0.8758,0.8758,0.8758098630136986,0.11891373806358932,0.5483,1.1031
40,06:40,4384.595549863014,1005.0072042079576,2438.3024,5764.588,1039.6744279452055,876.9434991985631,0.0,2545.5484,3344.9211219178087,1406.0283885098895,170.73180000000002,5764.4171,0.8759,0.0,0.8759,0.8759,0.8758632876712328,0.12666122948675176,0.5624,1.1245
41,06:50,4434.775704657534,916.6727617321186,2612.3842,5749.3421,1259.3374832876711,963.614154254706,0.0,2905.33,3175.438221369863,1408.7423211938199,43.7177999999999,5746.9324,0.8600999999999999,0.0,0.8601,0.8601,0.8601454794520548,0.13353775513620186,0.5289,1.1401
42,07:00,4523.45605479452,767.7846741571863,2949.88,5635.78,1508.6317808219178,1032.4978330120273,0.0,3201.7125,3014.824273972603,1378.5178371922489,-20.56999999999971,5563.63,0.8442,0.0,0.8442,0.8442,0.8441986301369863,0.13122026705935835,0.5411,1.1269
43,07:10,4524.072086027397,746.1905256095445,3026.4318,5639.4377,1791.41066739726,1058.5558123911221,154.8087,3413.9973,2732.661418630137,1399.5139767051885,-333.75120000000015,5419.3939,0.8334,0.0,0.8334,0.8334,0.8334449315068493,0.1236734176747359,0.526,1.0953
44,07:20,4545.886743561644,791.2253912384964,2884.169,5728.6236,2085.4864824657534,1065.5447269658293,373.5954,3775.629,2460.4002610958905,1434.4422183952138,-482.55330000000004,5227.279,0.8092,0.0,0.8092,0.8092,0.8091994520547945,0.1257390407682725,0.499,1.1035
45,07:30,4523.241780821918,777.3354103605416,2830.45,5762.49,2381.261095890411,1069.7163769145284,606.525,4192.725,2141.980684931507,1428.6299949694526,-670.9074999999998,4927.0075,0.7972,0.0,0.7972,0.7972,0.7971865753424657,0.1306301906715589,0.4755,1.1031
46,07:40,4383.356639178082,700.2952102025499,2922.3169,5527.2493,2683.175244657534,1070.2311246361028,867.132,4510.3183,1700.181394520548,1393.9892775687867,-1085.6653999999994,4487.8204000000005,0.7644,0.0,0.7644,0.7644,0.7644364383561644,0.12906071176947964,0.473,1.0684
47,07:50,4910.459873150685,1018.542086646085,2934.4796,6284.1769,2986.355155342466,1069.6906530138374,1127.5925,4973.2536,1924.104717808219,1580.8126966408356,-1480.8551000000002,4973.197,0.6899,0.0,0.6899,0.6899,0.6898906849315068,0.12293830946848566,0.4258,0.9785
48,08:00,5799.732684931508,1562.6515394862367,2870.51,7501.31,3289.2040068493147,1068.2889971122459,1391.4,5368.275,2510.528678082192,1973.9586824272335,-1674.9125000000004,5925.797500000001,0.86,0.0,0.86,0.86,0.859966301369863,0.14361391193732564,0.5332,1.1622
49,08:10,5884.82604520548,1617.0787927754557,2979.9759,7546.7527,3593.3612498630137,1063.3654511431223,1682.7674,5558.897,2291.4647953424655,2017.391583856705,-2002.6234,5728.0472,1.1617,0.0,1.1617,1.1617,1.161682191780822,0.18785244965487344,0.7473,1.541
50,08:20,5748.071280547944,1535.9949854272381,2961.5007,7439.8292,3890.7331731506847,1060.884846037477,1942.6551,6159.6625,1857.3381073972603,1954.2968600913582,-2736.9964000000004,5350.2510999999995,1.1683,0.0,1.1683,1.1683,1.1682860273972602,0.19166588071877214,0.7594,1.5469
51,08:30,5769.05805479452,1572.8366601049545,2912.48,7428.53,4181.341746575343,1062.998063338474,2176.275,6590.55,1587.716308219178,1983.4544917809744,-3333.82,5133.6425,1.0956,0.0,1.0956,1.0956,1.0956,0.18445803745680905,0.6545,1.4735
52,08:40,5754.210487671234,1594.2526397739316,2694.6318,7465.2636,4471.765715342466,1061.0701112617141,2447.0445,6746.4628,1282.4447723287672,1994.1718211782716,-3404.7943,4767.5479,1.0849,0.0,1.0849,1.0849,1.0849008219178082,0.18881068771662748,0.6554,1.419
53,08:50,5824.180742465754,1453.8084412232593,3035.4451,7430.2399,4752.8271715068495,1066.530524145306,2711.8548,6948.884,1071.3535709589041,1874.397759209633,-3267.1171999999997,4398.6673,1.061,0.0,1.061,1.061,1.061024383561644,0.19121990255875,0.6419,1.3972
54,09:00,5954.260109589041,1253.5131363417404,3554.98,7535.11,5021.907431506849,1079.1421866411602,2963.2125,7292.1,932.3526780821919,1720.848701875823,-3262.76,4286.2775,1.043,0.0,1.043,1.043,1.0430260273972602,0.17902888298146938,0.6459,1.3717
55,09:10,5958.969631232876,1236.399889818121,3604.0326,7333.7226,5285.4125512328765,1087.0183583843057,3236.2485,7544.2723,673.55708,1708.8419464046576,-3523.5763999999995,3939.2516,1.036,0.0,1.036,1.036,1.0359882191780823,0.16272637148359065,0.6528,1.3766
56,09:20,5929.555397534246,1258.8571422467332,3573.979,7397.5353,5543.1742345205475,1100.2400535206182,3463.5549,7701.4848,386.38116301369865,1734.5420192805943,-3770.7677000000003,3713.415,1.0147,0.0,1.0147,1.0147,1.014678082191781,0.1611480774627431,0.6318,1.3481
57,09:30,5923.782767123287,1239.985427862915,3505.17,7462.64,5788.409280821918,1111.3501523200941,3628.0875,8012.025,135.3734863013698,1728.7494726886773,-3898.1099999999997,3574.2275000000004,0.9921999999999999,0.0,0.9922,0.9922,0.9922032876712329,0.1640918800521573,0.5946,1.3104
58,09:40,5907.585989589042,1242.9598765894816,3566.3362,7317.9348,6012.130438630137,1098.2666029491752,3735.5582,8347.3413,-104.54444904109586,1724.148726117015,-4136.269399999999,3262.7578,0.9700000000000001,0.0,0.97,0.97,0.9700057534246576,0.16267661929978489,0.5802,1.3031
59,09:50,5899.126155342466,1253.9795310928869,3509.4392,7313.1756,6216.152788493151,1089.1142227637552,3958.7279,8493.1704,-317.026633150685,1733.1268081577507,-4364.3303,3022.7960000000003,0.9422,0.0,0.9422,0.9422,0.9422043835616439,0.16104587696127487,0.5511,1.2752
60,10:00,5902.219589041096,1256.478394806707,3589.82,7419.21,6409.594109589041,1096.0515006508022,4273.6125,8698.6875,-507.3745205479452,1746.5970466801293,-4710.542500000001,2845.7299999999996,0.9569000000000001,0.0,0.9569,0.9569,0.9569432876712328,0.17494541626027307,0.5601,1.3318
61,10:10,5897.479282465753,1255.7406486224568,3592.5642,7451.2952,6599.380772602739,1091.1433365294454,4433.6409,8913.5616,-701.9014901369862,1741.203536917664,-4830.675400000001,2871.9123,0.9977,0.0,0.9977,0.9977,0.9976506849315068,0.21609219334090077,0.5098,1.4993
62,10:20,5886.756810136986,1250.7896648274286,3506.1042,7399.4453,6766.720371232877,1076.8152279652031,4447.2386,9257.2136,-879.9635610958904,1724.389089206062,-5063.576299999999,2697.7582,0.9919,0.0,0.9919,0.9919,0.9919515068493151,0.21967130497601653,0.5015,1.4966
63,10:30,5873.470767123288,1245.4517400638138,3532.57,7254.91,6914.592328767124,1074.6404627467828,4708.0875,9318.675,-1041.1215616438355,1720.4515673410885,-5342.865,2380.4525000000003,0.9588,0.0,0.9588,0.9588,0.95878,0.2091232439611512,0.5036,1.4275
64,10:40,5858.030780547945,1245.5607827717456,3550.1007,7229.8642,7064.205336164383,1088.6126878384346,4946.2149,9396.5358,-1206.1745556164385,1736.1070897661914,-5346.7402,2138.9390999999996,0.9549,0.0,0.9549,0.9549,0.9548854794520548,0.213682860627466,0.5131,1.4258
65,10:50,5844.994823287671,1250.1937652296222,3438.0704,7249.6654,7197.431476438357,1098.2028167661624,4968.8079,9624.7239,-1352.4366531506848,1750.1338922799373,-5541.630099999999,2226.3645000000006,0.9839,0.0,0.9839,0.9839,0.9839383561643835,0.22368199183174728,0.5348,1.4627
66,11:00,5839.058739726027,1252.7968833179439,3437.28,7367.86,7303.114212328767,1096.994155113653,4979.2125,9670.4625,-1464.0554726027399,1751.1863828405653,-5782.8,2287.4075000000003,0.7989999999999999,0.0,0.799,0.799,0.7990120547945206,0.19749136430528258,0.3334,1.241
67,11:10,5838.710330410959,1250.4592457681192,3480.9991,7281.2919,7387.684754794521,1095.611030422158,4907.9946,9875.6709,-1548.9744243835617,1746.1692055823326,-6090.5021,2172.5858,0.5025,0.0,0.5025,0.5025,0.5025016438356164,0.1659794929658554,0.0489,0.8645
68,11:20,5823.4377547945205,1254.8706985881286,3389.1476,7265.2666,7459.226967123287,1098.7641817353915,5015.1025,10104.8442,-1635.7892123287672,1740.9541758422808,-6350.1983,2029.7637999999997,0.4662,0.0,0.4662,0.4662,0.4662402739726027,0.15929314256789437,0.0506,0.7785
69,11:30,5814.793232876712,1269.1848384899283,3382.12,7356.73,7520.719109589041,1112.1904283724605,5256.3375,10216.2,-1705.925876712329,1750.7677974707735,-6363.820000000001,1889.33,0.5007,0.0,0.5007,0.5007,0.5006649315068493,0.1608818724987074,0.1016,0.8229
70,11:40,5832.395147123288,1269.8777918469182,3437.32,7293.0812,7568.2038523287665,1130.6647017500093,5345.688,9948.4073,-1735.8087052054796,1771.6968764002781,-6440.579000000001,1820.6596,0.4827000000000001,0.0,0.4827,0.4827,0.48273972602739723,0.16392469067901397,0.0776,0.802
71,11:50,5712.900999178082,1194.1257889026417,3455.1837,7165.6152,7592.153902739727,1133.0136496639223,5340.3233,10105.3207,-1879.252903561644,1728.6748697913458,-6601.9911,1632.1554999999998,0.47850000000000004,0.0,0.4785,0.4785,0.47846082191780825,0.16335709645087665,0.04,0.7991
72,12:00,5519.460657534246,1090.399614757751,3427.58,6958.9,7601.043287671232,1130.0537644327208,5146.35,9995.8875,-2081.5826301369866,1649.6763045159976,-6452.077500000001,1299.58,0.4662,0.0,0.4662,0.4662,0.4661709589041096,0.15791283250825836,0.034,0.7757
73,12:10,5494.790748767124,1075.8975217424606,3392.8426,6824.2839,7612.3160287671235,1150.774055924669,5125.9587,10006.419,-2117.52528,1639.8533730482065,-6047.7537,1554.5321999999996,0.4432,0.0,0.4432,0.4432,0.4431909589041096,0.15149768540070266,0.0076,0.7706
74,12:20,5514.452445753424,1094.2411092028283,3288.1525,6906.6595,7602.6524038356165,1157.8513205263675,4948.7048,10057.9095,-2088.1999580821916,1662.2451481781861,-6128.6140000000005,1466.7819,0.4411,0.0,0.4411,0.4411,0.4411427397260274,0.14980035792424368,0.0376,0.8026
75,12:30,5485.829041095891,1090.7146597894305,3351.29,6883.28,7554.187191780822,1145.1690673972905,4996.05,10059.6375,-2068.3581506849314,1666.4552058329386,-6218.057499999999,1467.3850000000002,0.4551,0.0,0.4551,0.4551,0.45507616438356163,0.1527696028196945,0.085,0.8183
76,12:40,5462.362758904109,1069.117393843891,3350.6249,6847.4379,7472.73840109589,1147.4622920202655,5061.6004,9953.7999,-2010.3756421917808,1646.7787983143971,-6409.863600000001,1645.5524999999998,0.4463,0.0,0.4463,0.4463,0.44629369863013696,0.15287146449872793,0.0987,0.7799
77,12:50,5566.10663890411,1139.318046518153,3359.1047,7135.5358,7393.417236986301,1142.7355675481442,4912.5647,9887.751,-1827.3105980821917,1684.772092153768,-6106.4887,1923.893,0.41130000000000005,0.0,0.4113,0.4113,0.41134109589041096,0.14787698596068857,0.0224,0.7267
78,13:00,5725.754794520548,1259.1623841459461,3344.41,7523.22,7312.79794520548,1122.2341169310625,4792.575,9785.3625,-1587.0431506849316,1755.9368438042493,-5983.49,2122.8450000000003,0.5682,0.0,0.5682,0.5682,0.5682405479452055,0.15198972528794674,0.1533,0.903
79,13:10,5739.495671506849,1272.3120432155533,3261.3217,7449.2543,7194.541004931507,1107.447232174437,4704.4123,9598.6939,-1455.0453334246577,1741.4043071829465,-5701.2098000000005,1991.1232,0.8279,0.0,0.8279,0.8279,0.8278586301369864,0.16368215904742342,0.4046,1.1525
80,13:20,5714.683625205479,1248.7258491963682,3222.5266,7332.9233,7053.137065753425,1097.2226088955424,4608.4697,9351.4358,-1338.453440547945,1701.9983026860154,-5570.2924,2006.96,0.8636,0.0,0.8636,0.8636,0.8635953424657535,0.16180480661983052,0.4606,1.1717
81,13:30,5717.850520547945,1249.2191097325087,3273.07,7584.7,6910.406404109589,1092.2060508468733,4418.55,9155.4,-1192.555883561644,1684.069913787896,-5520.0,2163.3499999999995,0.8416000000000001,0.0,0.8416,0.8416,0.8415671232876712,0.1575156969805651,0.4443,1.1437
82,13:40,5708.248626575343,1260.793082994174,3230.2971,7406.5819,6772.407483013699,1102.2756886495408,4347.5324,9149.5772,-1064.1588564383562,1679.3803568881756,-5164.532300000001,2446.8787999999995,0.8618,0.0,0.8618,0.8618,0.8617860273972603,0.15496017105024873,0.4637,1.1705
83,13:50,5696.918242739726,1267.633379983718,3301.8114,7412.3027,6607.36001150685,1103.8403427337203,4271.9088,9083.379,-910.4417687671233,1680.237996917565,-5186.305,2169.0389000000005,0.8623,0.0,0.8623,0.8623,0.862324109589041,0.15164529724120215,0.4662,1.1863
84,14:00,5692.298301369863,1264.053752002245,3242.94,7490.08,6412.50852739726,1091.7223304614913,4139.25,8954.8125,-720.2102260273972,1673.1041282898227,-4696.3425,2404.795,0.9026000000000001,0.0,0.9026,0.9026,0.9025854794520547,0.16790128324389916,0.478,1.2461
85,14:10,5687.12908,1264.871957047762,3300.5516,7573.0382,6214.015801095891,1085.5478962389716,3961.665,9038.1514,-526.8867210958904,1655.3421515422713,-4518.7785,2527.4208,0.9754,0.0,0.9754,0.9754,0.9754490410958905,0.21424271444499418,0.4811,1.4592
86,14:20,5678.961982465754,1273.840060185607,3306.0805,7531.8554,6000.711209315068,1079.928358976746,3800.0876,8657.4812,-321.74922684931505,1648.423771464443,-4389.3405,2562.9497,1.0002,0.0,1.0002,1.0002,1.0002054794520547,0.21969655564732854,0.5074,1.4822
87,14:30,5669.450767123288,1279.385463537884,3142.06,7488.41,5766.9815753424655,1072.9005003061866,3611.2125,8239.95,-97.53080821917808,1645.0348124033274,-4131.73,2889.0525000000002,0.9978,0.0,0.9978,0.9978,0.9977819178082192,0.20752669059544768,0.5381,1.4394
88,14:40,5664.194844383562,1266.6931905082222,3221.234,7544.4323,5521.50658,1074.9507289000226,3374.8115,7915.8208,142.68826438356163,1614.037823435218,-4014.9878,3094.4783999999995,1.0271,0.0,1.0271,1.0271,1.0270865753424656,0.2096950015925744,0.5646,1.5053
89,14:50,5672.701132876712,1268.206787709218,3254.3376,7471.7098,5268.781015616439,1069.5189023153641,3198.9887,7441.5256,403.920117260274,1594.3471996939454,-3753.8763,3385.3821999999996,1.0906,0.0,1.0906,1.0906,1.090606301369863,0.21908903325623275,0.5867,1.5372
90,15:00,5682.254356164383,1283.1637621367422,3177.62,7810.24,5009.715205479452,1058.9463904745935,2957.5875,7191.225,672.5391506849315,1593.1585835594956,-3385.9799999999996,3597.7975,0.9376,0.0,0.9376,0.9376,0.9376180821917808,0.18881280412569057,0.4626,1.3326
91,15:10,5669.0195243835615,1279.8890916116259,3099.8817,7809.7512,4743.448423835616,1057.5886393163062,2665.595,6931.4362,925.5711005479451,1579.082195903634,-3176.8151999999995,3840.587,0.6694,0.0,0.6694,0.6694,0.6694043835616439,0.15082152370831772,0.2515,0.9561
92,15:20,5656.365147123287,1280.7727159825843,3272.3045,7590.8895,4471.223961917808,1063.9967111192802,2404.6045,6544.797,1185.1411852054794,1575.0896376537053,-3040.2171000000003,4019.0283000000004,0.66,0.0,0.66,0.66,0.6599739726027397,0.1455531252164445,0.2829,0.9117
93,15:30,5657.086712328767,1293.566579582508,3192.81,7801.61,4188.2025,1064.4755147606234,2166.8625,6261.6,1468.8842123287673,1580.923073515406,-2739.3100000000004,4246.1275,0.7217,0.0,0.7217,0.7217,0.7217131506849315,0.14826664201457018,0.3429,0.9899
94,15:40,5662.600758904109,1294.763277245387,3219.0463,7633.2605,3889.3931205479453,1050.3254113747719,1895.7265,5799.3532,1773.2076383561646,1567.706895351463,-2147.1016999999997,4526.7994,0.7308,0.0,0.7308,0.7308,0.730755890410959,0.1497051260971654,0.3284,1.0413
95,15:50,5669.259557534247,1294.4194045228062,3212.1415,7732.962,3594.594639178082,1049.8289140466654,1545.1629,5315.3608,2074.6649183561644,1550.4387895497973,-1784.9190000000003,4811.448399999999,0.7534,0.0,0.7534,0.7534,0.7534054794520548,0.14854307057566493,0.3517,1.0102
96,16:00,5673.4767123287675,1299.2310178324526,3234.88,7784.84,3303.887773972603,1062.3666099271688,1255.275,5102.325,2369.5889383561644,1542.3080287886798,-1593.5274999999997,4989.84,0.7822999999999999,0.0,0.7823,0.7823,0.7823328767123287,0.14704069618216167,0.3876,1.0505
97,16:10,5671.014555616438,1306.5371141537623,3156.6408,7633.4736,2998.424654794521,1060.3824148244905,1100.85,4878.2495,2672.589900821918,1541.782407218535,-1110.1651000000002,5195.769499999999,0.8055,0.0,0.8055,0.8055,0.8055224657534246,0.14632784314926725,0.4239,1.0839
