date,planning_objective,realized_cost_less_same_terminal_proxy
2025-04-25,31975.115199522897,28759.77481956382
2025-04-26,27765.96029957449,24682.927112511657
2025-04-27,27449.00853261901,32584.753849793036
2025-04-28,31199.89765611588,73091.27262834937
2025-04-29,33018.7919094008,35052.318745052566
2025-04-30,32737.140266809816,32384.032038623838
2025-05-01,32095.382298037217,49707.89737184974
2025-05-02,33309.394310728625,29649.16381723699
2025-05-03,30726.734338208305,26917.870921757785
2025-05-04,31663.20614618053,33984.43285485656
2025-05-05,35476.87088807739,45390.531147958034
2025-05-06,35847.24737419084,35506.71911706512
2025-05-07,36202.37170961938,40969.96893534815
2025-05-08,37100.267195341126,39517.15646859983
2025-05-09,37255.37248087584,33072.1711007255
2025-05-10,32663.407191106427,28729.03126885285
2025-05-11,33117.32231149639,32346.89511100426
2025-05-12,37089.81596594817,36071.349333616854
2025-05-13,36517.03979652473,35475.862594540056
2025-05-14,36410.03679414032,35566.50598151022
2025-05-15,36363.81922502388,35469.48120039388
2025-05-16,36018.660229566274,32052.61771983518
2025-05-17,31965.853992700668,28019.830349491956
2025-05-18,31992.24775684033,31385.79290255868
2025-05-19,35379.82591959341,34508.2754462915
2025-05-20,33735.35754302741,42470.0341496388
2025-05-21,34470.65148895477,36352.46262685938
2025-05-22,34475.87887846843,34403.10128421109
2025-05-23,33175.85683597433,30261.824756775186
2025-05-24,29965.15449646832,27271.802361819333
2025-05-25,29631.58075136784,30169.15617151491
2025-05-26,32984.06162224655,50298.79514136377
2025-05-27,33999.64908701642,34330.57096548558
2025-05-28,33372.25646952087,35202.59484767682
2025-05-29,33524.30216986687,46423.049480323796
2025-05-30,33897.71301285794,30548.87466215091
2025-05-31,29946.434221184554,26884.9138715099
2025-06-01,30485.932849939447,119565.2058956467
2025-06-02,39703.09354948928,90302.76831999433
2025-06-03,42892.50404248796,73811.30234307065
2025-06-04,45742.40799930146,63671.601363618545
2025-06-05,48034.46882829834,54204.83590157522
2025-06-06,49738.956836721474,44669.317339735884
2025-06-07,48350.99444715241,43102.195902646126
2025-06-08,50716.70166755082,48113.79500836867
2025-06-09,53153.55380983568,50719.82490256884
2025-06-10,53524.04488668454,50988.735636891295
2025-06-11,53666.93634736391,53082.96892816527
2025-06-12,54501.1752250388,51781.59417971671
2025-06-13,54547.71901726719,49165.48627123216
2025-06-14,51364.74179977137,46035.647185197384
2025-06-15,50781.50577322887,48058.18365543288
2025-06-16,54373.57056479085,51633.15756256912
2025-06-17,54572.75701802015,52170.001454015706
2025-06-18,55246.89414305873,52538.566356748815
2025-06-19,54356.4115732543,51716.43217487697
2025-06-20,53867.33745534784,48552.169654988196
2025-06-21,50096.98482786636,44726.36944535414
2025-06-22,49443.34965174819,46783.900788866726
2025-06-23,50168.42406890499,48023.37456116759
2025-06-24,48496.32761457139,67729.14431386741
2025-06-25,48825.40602667549,46700.254550612524
2025-06-26,47337.78739333824,45565.94725777568
2025-06-27,46109.32532887099,41466.20392815793
2025-06-28,42311.32953417648,37698.77034151006
2025-06-29,42546.75109821419,41307.15829502095
2025-06-30,46582.83294642105,45726.43410831966
2025-07-01,47051.86247970102,83110.06999079099
2025-07-02,48681.20912104752,68645.04684276017
2025-07-03,48969.64022211896,84172.11230774698
2025-07-04,51288.82061974692,46695.19930924853
2025-07-05,48916.14049188148,44241.63965026701
2025-07-06,49128.80291862201,67541.4198690581
2025-07-07,54480.16859961195,53218.478851620755
2025-07-08,53945.50359307184,52149.90972516369
2025-07-09,53540.0453503426,51807.08827193585
2025-07-10,53492.29931188053,51707.457705082576
2025-07-11,52856.72636436761,48797.89065480371
2025-07-12,50199.66896322084,45971.644261604364
2025-07-13,50408.38993143982,48487.2752003564
2025-07-14,52482.065806135965,50724.60026953643
2025-07-15,52485.03960797744,50468.43832463768
2025-07-16,51037.702175800085,48975.073733581325
2025-07-17,51445.198543281,49683.04569474123
2025-07-18,51517.310399575865,46857.696953402075
2025-07-19,47863.364595245104,43112.78596357733
2025-07-20,47557.3689674872,45364.01743274421
2025-07-21,50868.12326755343,48905.28066453025
2025-07-22,51475.66903294994,49375.81197294741
2025-07-23,50077.560445559066,50376.169674224824
2025-07-24,50528.46485036772,50507.4735092517
2025-07-25,49117.64268511332,45547.83727968333
2025-07-26,44914.596588369735,41485.15664913839
2025-07-27,45064.56792036146,47685.3194648685
2025-07-28,48285.05335490821,71744.78078324004
2025-07-29,49533.2734052618,58632.342066480465
2025-07-30,49818.799893345495,49789.87839339233
2025-07-31,49556.86540738981,49582.04104981729
2025-08-01,49780.34818827079,46349.193518258435
2025-08-02,45277.73824895465,41965.857439537904
2025-08-03,44727.913630496114,45834.41304272159
2025-08-04,47894.27273843707,48136.618022765186
2025-08-05,46568.020984971634,46711.60658751345
2025-08-06,45560.85575243802,50205.065442859406
2025-08-07,45439.478965135895,45661.39381013003
2025-08-08,44165.98786043179,40829.924668171574
2025-08-09,39831.81409741748,36646.29866282271
2025-08-10,39784.99928604278,40620.951018908716
2025-08-11,43974.50276706296,44279.90209957172
2025-08-12,43843.51121438484,56471.96092971669
2025-08-13,44479.54550059034,45416.01259701123
2025-08-14,44152.727828734336,47607.526250834584
2025-08-15,44425.85004610304,41296.96641685071
2025-08-16,40559.38602437152,37485.190966490285
2025-08-17,40482.31947724016,40965.854191084945
2025-08-18,44288.95698928714,44617.461093186306
2025-08-19,43854.71491080178,44492.699626540074
2025-08-20,43467.06669491874,75962.52229760718
2025-08-21,44900.27201795981,44586.73152475244
2025-08-22,44626.79866893972,40983.667500390045
2025-08-23,41205.545725595,37596.558372139894
2025-08-24,41598.29535250804,41766.69187503836
2025-08-25,45799.25530876725,62408.96786818572
2025-08-26,46824.00881042551,46193.46560593346
2025-08-27,46695.46187232065,46198.137177418874
2025-08-28,46642.630379683775,60686.299604778374
2025-08-29,47351.86641666941,43729.410884968886
2025-08-30,43541.76509203291,40066.51359045139
2025-08-31,43511.81311451992,43133.62441686928
2025-09-01,47238.54361511251,44949.37284330244
2025-09-02,43247.58271240544,41460.53480238535
2025-09-03,42122.72034184149,40626.37205777931
2025-09-04,41133.22333028225,39830.23330409332
2025-09-05,39651.03390857657,35722.85658283022
2025-09-06,34999.11669413513,31041.53826123809
2025-09-07,33951.77920508499,33389.63574617594
2025-09-08,36589.45776529082,53648.3692401315
2025-09-09,38062.88299180313,40814.362991227186
2025-09-10,38064.63693098628,55550.58067274694
2025-09-11,38486.08664950096,38837.715195648474
2025-09-12,38351.74481299591,35380.52113894219
2025-09-13,35011.01952366771,31941.400352535915
2025-09-14,35066.22830747375,37948.72401157581
2025-09-15,39548.35418849678,39983.718855140614
2025-09-16,38952.39103187982,40115.222932048084
2025-09-17,39623.26183323922,40049.14173117913
2025-09-18,39349.4176376629,40236.65299263385
2025-09-19,39700.20160915974,36334.38854766129
2025-09-20,36092.71687538957,32766.768155984442
2025-09-21,36805.6474067705,37107.38132204748
2025-09-22,40626.645636834095,41591.26067484702
2025-09-23,41290.84240608162,44118.01437250312
2025-09-24,41729.12675447148,42579.16369652771
2025-09-25,41755.88458893563,41769.02438927709
2025-09-26,42073.2701922077,38729.93742193977
2025-09-27,38388.91381955207,35105.00181864374
2025-09-28,38658.330298922,38491.141246351275
2025-09-29,42856.54217193592,42903.921575819906
2025-09-30,42755.30559216504,49505.54257417406
2025-10-01,43135.57570512792,42065.86229792244
2025-10-02,39948.329168329066,39568.32702946899
2025-10-03,39051.912778965925,35912.53599198108
2025-10-04,34877.06246829096,31856.650534179662
2025-10-05,34492.13551153155,34638.69423023389
2025-10-06,36982.040387876994,37550.566030498194
2025-10-07,36718.45821965044,37539.30299530566
2025-10-08,35834.44334614979,36577.308962344956
2025-10-09,36518.34392220967,37279.66268457408
2025-10-10,36932.47726194292,34276.473969830105
2025-10-11,33355.588057364344,30805.91781816624
2025-10-12,33561.93217070386,34525.71093952251
2025-10-13,37770.57698337785,38425.10747510697
2025-10-14,37641.07141948253,47801.5313472428
2025-10-15,38136.65159262694,51398.42271891867
2025-10-16,38851.34874736193,52955.01075601108
2025-10-17,39851.67411348583,37041.53560600407
2025-10-18,36772.23238413233,33865.056128756514
2025-10-19,36874.06594711039,45840.52680425704
2025-10-20,41486.05039502624,45130.14070157892
2025-10-21,42334.33593247826,46634.055161602395
2025-10-22,42900.93687191741,46847.5797376441
2025-10-23,43341.08254777471,43827.07263064324
2025-10-24,43189.88771727187,40582.0195958568
2025-10-25,39999.64206705853,37325.55643775693
2025-10-26,40344.1009220115,40831.18324426079
2025-10-27,44030.84342267766,45057.73510276217
2025-10-28,44214.44238695339,44689.72805457856
2025-10-29,44042.149982151066,51535.865022561346
2025-10-30,44756.96584370005,45117.71619004352
2025-10-31,44732.9953522645,41824.8125900866
2025-11-01,41462.01717048889,38617.21911019698
2025-11-02,41787.38563942128,42889.29853016517
2025-11-03,46141.66508039509,46614.26140604753
2025-11-04,46592.93805593917,47817.13679927375
2025-11-05,46877.25980451108,47349.75935951106
2025-11-06,46661.74255485964,47331.59774192605
2025-11-07,47062.47457741646,44002.90132328732
2025-11-08,43149.22616312978,40109.31736489944
2025-11-09,43332.20817747105,45515.947238820605
2025-11-10,47332.4583940672,53677.07724562515
2025-11-11,47988.07006975379,48532.859383601455
2025-11-12,48268.408684195965,48414.945730669846
2025-11-13,48175.66988631145,47965.21117132396
2025-11-14,48345.27100705044,44779.960846230155
2025-11-15,44785.93524276414,41324.43468078881
2025-11-16,45418.49323812601,46667.471788093084
2025-11-17,49735.43565215956,49529.23899282798
2025-11-18,49358.95929367442,49282.33308406244
2025-11-19,49814.926377549,50584.74051162611
2025-11-20,49843.37465345036,50211.189649183536
2025-11-21,49998.616547519625,46958.07409926721
2025-11-22,46179.86216190033,43193.92039137728
2025-11-23,46505.191698387054,46881.687338648895
2025-11-24,50395.23246509162,50929.75537557301
2025-11-25,50671.80546689696,50999.65637801499
2025-11-26,50666.56428887514,51058.00304644165
2025-11-27,50753.14268321855,50983.75858691504
2025-11-28,50534.23465904977,47640.95619246137
2025-11-29,47017.34530959638,44246.200518497906
2025-11-30,47627.47664627512,58313.37093873709
2025-12-01,52288.72197085027,85233.00241872661
2025-12-02,54447.19273044365,89651.04192252342
2025-12-03,57065.999244467406,73063.44494328834
2025-12-04,58487.61615116159,67700.62081258562
2025-12-05,59748.67872832849,55008.1799335349
2025-12-06,56827.05733522918,52028.2804623606
2025-12-07,57880.89629233417,56473.59209963445
2025-12-08,62574.98332621055,61086.98573871124
2025-12-09,62446.58186850811,61023.36121121269
2025-12-10,62513.02642175936,61049.75578250446
2025-12-11,62550.82456767063,60972.757020576755
2025-12-12,62320.36134445206,57467.5795424243
2025-12-13,58688.65260856695,53796.61216665937
2025-12-14,58820.69686772868,57324.662317969014
2025-12-15,62894.30156622972,61539.483211840045
2025-12-16,63008.10536177396,61631.45538351324
2025-12-17,63259.60401773653,61895.47044648681
2025-12-18,63140.93066657925,61587.45076080716
2025-12-19,63233.57178092287,58477.927727230046
2025-12-20,59486.5966171651,54660.19827487151
2025-12-21,59403.32738510101,57865.43572908154
2025-12-22,63131.63561810057,60340.939292164585
2025-12-23,61919.32884237298,60126.40426423631
2025-12-24,60163.71732794504,59500.15466785876
2025-12-25,59216.47025468236,59364.326005864605
2025-12-26,58446.82647110498,55654.63306489498
2025-12-27,54487.04058084157,51805.87379017822
2025-12-28,54641.36146674291,55345.89187387932
2025-12-29,58175.65898092605,58989.90587593578
2025-12-30,58147.1920109828,58889.37642928567
2025-12-31,57951.23831895084,61169.650868177516
