calibrations,residual_count,initial_soc_kwh,final_soc_kwh,calibration_seconds,day_seconds
"[{'theta': array([-3800.65262176]), 'n_active': 1, 'beta1_train': -4036.858861553467, 'beta0_train': -4104.2089782004305, 'beta1_val': -4055.1254090895827, 'beta0_val': -4107.599999999999, 'selected_score': -4104.2089782004305, 'evaluations': 20, 'seconds': 0.052671199999167584, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-2859.41894577,     0.        , -4529.58222458,     0.        ,
        -915.01420954,     0.        ]), 'n_active': 3, 'beta1_train': -218.05798191728442, 'beta0_train': -582.4391272862016, 'beta1_val': -372.85608722280676, 'beta0_val': -630.8216551540124, 'selected_score': -582.4391272862016, 'evaluations': 140, 'seconds': 0.2960575000033714, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",34,2143.5632656200846,1551.0964688888882,0.34872870000253897,0.48291739998967387
"[{'theta': array([-2891.92080684]), 'n_active': 1, 'beta1_train': -3987.15071707988, 'beta0_train': -4056.34145975107, 'beta1_val': -4059.6, 'beta0_val': -4059.6, 'selected_score': -4056.34145975107, 'evaluations': 25, 'seconds': 0.05492199999571312, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5517.41929306,     0.        ,  -568.33354161,     0.        ,
       -4798.20032709,     0.        ]), 'n_active': 3, 'beta1_train': -512.7787508080255, 'beta0_train': -889.0278228792233, 'beta1_val': 93.31642096132362, 'beta0_val': 37.364751736227845, 'selected_score': -889.8004453589768, 'evaluations': 140, 'seconds': 0.33138509999844246, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",35,1551.0964688888882,2198.0389498148143,0.3863070999941556,0.5217978000000585
"[{'theta': array([-7680.36237312]), 'n_active': 1, 'beta1_train': -1977.8009001079763, 'beta0_train': -3060.3866650966966, 'beta1_val': -2459.223164649002, 'beta0_val': -3123.2297888769754, 'selected_score': -3060.3866650966966, 'evaluations': 15, 'seconds': 0.03816670000378508, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3991.4515762 ,     0.        ,  -552.51458978,     0.        ,
       -6156.62251   ,     0.        ]), 'n_active': 3, 'beta1_train': 4605.04863531867, 'beta0_train': 1901.6287336139267, 'beta1_val': 4703.240168954328, 'beta0_val': 4185.202157301261, 'selected_score': 1863.8064136162304, 'evaluations': 140, 'seconds': 0.2991710000060266, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",36,2198.0389498148143,1704.5654221820846,0.33733770000981167,0.4708576999983052
"[{'theta': array([-6263.19252788]), 'n_active': 1, 'beta1_train': -2468.2435932269564, 'beta0_train': -2511.3903483269714, 'beta1_val': -2457.393609667951, 'beta0_val': -2457.393609667951, 'selected_score': -2511.3903483269714, 'evaluations': 30, 'seconds': 0.056259199991473, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5019.09028567,     0.        , -1347.42585249,     0.        ,
       -4963.97422308,     0.        ]), 'n_active': 3, 'beta1_train': 1612.3116487098148, 'beta0_train': -595.4951575460984, 'beta1_val': 1583.3594726121823, 'beta0_val': -555.7675981727471, 'selected_score': -595.4951575460984, 'evaluations': 140, 'seconds': 0.2869040999939898, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",37,1704.5654221820846,1743.401201877342,0.3431632999854628,0.4650766999984626
"[{'theta': array([-8153.81526209]), 'n_active': 1, 'beta1_train': -2421.949442843245, 'beta0_train': -2447.5323948641176, 'beta1_val': -2404.296474088947, 'beta0_val': -2404.296474088947, 'selected_score': -2447.5323948641176, 'evaluations': 15, 'seconds': 0.03550750001159031, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-1682.21392224,     0.        , -8486.01659653,     0.        ,
       -1317.59534355,     0.        ]), 'n_active': 3, 'beta1_train': 1020.887806746607, 'beta0_train': -1098.2064827170902, 'beta1_val': 1955.5616783366331, 'beta0_val': -1054.6147286353334, 'selected_score': -1098.2064827170902, 'evaluations': 140, 'seconds': 0.26742959998955484, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",38,1743.401201877342,2765.5314612962957,0.30293710000114515,0.424311900002067
"[{'theta': array([-4792.98374781]), 'n_active': 1, 'beta1_train': -4260.774702141942, 'beta0_train': -4362.12211947283, 'beta1_val': -4262.969309005, 'beta0_val': -4359.695098971194, 'selected_score': -4362.12211947283, 'evaluations': 20, 'seconds': 0.044551300001330674, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-6696.81349512,     0.        ,  -641.00588511,     0.        ,
       -7872.6933755 ,     0.        ]), 'n_active': 3, 'beta1_train': 3006.210842539872, 'beta0_train': -1054.3440212985158, 'beta1_val': 3973.662417871892, 'beta0_val': -534.7493543301617, 'selected_score': -1055.1315118334564, 'evaluations': 140, 'seconds': 0.27589600000646897, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",39,2765.5314612962957,3002.6744312806613,0.32044730000779964,0.4412309000035748
"[{'theta': array([-4604.68314138]), 'n_active': 1, 'beta1_train': -4225.5049940495755, 'beta0_train': -4321.747370962889, 'beta1_val': -4160.877848191667, 'beta0_val': -4323.401316049382, 'selected_score': -4321.747370962889, 'evaluations': 20, 'seconds': 0.04467770000337623, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-5576.05063439,     0.        , -6452.54544098,     0.        ,
       -6037.20771983,     0.        ]), 'n_active': 3, 'beta1_train': 2283.8257392127475, 'beta0_train': -677.4116823415463, 'beta1_val': 2874.455655045286, 'beta0_val': 997.1595257788191, 'selected_score': -677.4116823415463, 'evaluations': 140, 'seconds': 0.27784840000094846, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",40,3002.6744312806613,2340.9147716666707,0.3225261000043247,0.455092499993043
"[{'theta': array([-8231.2591068]), 'n_active': 1, 'beta1_train': -4054.1242076293515, 'beta0_train': -4228.777687257408, 'beta1_val': -4136.56244402222, 'beta0_val': -4246.582119407405, 'selected_score': -4228.777687257408, 'evaluations': 20, 'seconds': 0.04213030000391882, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4604.35062707,     0.        , -7732.36997809,     0.        ,
       -6682.00764625,     0.        ]), 'n_active': 3, 'beta1_train': -902.0638082745578, 'beta0_train': -1047.063208136849, 'beta1_val': -912.3899527544713, 'beta0_val': -982.5149334814816, 'selected_score': -1047.063208136849, 'evaluations': 140, 'seconds': 0.27431400000932626, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",41,2340.9147716666707,2712.49457943551,0.3164443000132451,0.4446132999873953
"[{'theta': array([-2657.33346522]), 'n_active': 1, 'beta1_train': -4152.131062251016, 'beta0_train': -4292.278789896807, 'beta1_val': -4136.898272433333, 'beta0_val': -4293.422547325103, 'selected_score': -4292.278789896807, 'evaluations': 20, 'seconds': 0.046466800005873665, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-7.59792362e+03, -1.61478652e+00, -5.66001445e+02,  2.30101473e-01,
       -2.90517241e+03,  1.86430321e+00]), 'n_active': 6, 'beta1_train': 3782.56263432283, 'beta0_train': 1132.6451533587046, 'beta1_val': 4646.060719853999, 'beta0_val': -669.2911220339753, 'selected_score': 1125.3323305483307, 'evaluations': 275, 'seconds': 0.3169239999988349, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",42,2712.49457943551,1448.1370198890902,0.3633908000047086,0.49151190000702627
"[{'theta': array([-2474.37472864]), 'n_active': 1, 'beta1_train': -2668.1636505625283, 'beta0_train': -2696.212817660343, 'beta1_val': -2627.1935666116656, 'beta0_val': -2696.4, 'selected_score': -2696.212817660343, 'evaluations': 20, 'seconds': 0.04330390000541229, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3.08110510e+03, -7.79415549e-01, -6.70002833e+02,  8.39369518e-02,
       -1.56036615e+03, -1.00008540e+00]), 'n_active': 6, 'beta1_train': 3429.305428235399, 'beta0_train': 24.167038370866265, 'beta1_val': 3627.46506678066, 'beta0_val': 1245.5160082105174, 'selected_score': 16.221766937515806, 'evaluations': 275, 'seconds': 0.34627439999894705, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",42,1448.1370198890902,1733.7993574681539,0.38957830000435933,0.5113788000016939
"[{'theta': array([-2047.1112966]), 'n_active': 1, 'beta1_train': -2396.990757144098, 'beta0_train': -2421.4655057998607, 'beta1_val': -2435.9370549809532, 'beta0_val': -2435.9370549809532, 'selected_score': -2421.4655057998607, 'evaluations': 20, 'seconds': 0.043638400005875155, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-7.60661973e+03,  1.24179517e+00, -6.42542853e+03, -1.37828157e+00,
       -4.96417609e+03,  3.97516224e-01]), 'n_active': 6, 'beta1_train': 1574.9815319725392, 'beta0_train': -749.4325010906388, 'beta1_val': 2046.6634857812764, 'beta0_val': -727.4063467076057, 'selected_score': -749.4325010906388, 'evaluations': 275, 'seconds': 0.33702099999936763, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",42,1733.7993574681539,2260.623937521368,0.3806594000052428,0.5063979999977164
"[{'theta': array([-759.93121817]), 'n_active': 1, 'beta1_train': -2651.8839716153616, 'beta0_train': -2669.020675842326, 'beta1_val': -2635.0273356035445, 'beta0_val': -2635.0273356035445, 'selected_score': -2669.020675842326, 'evaluations': 20, 'seconds': 0.04822900000726804, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-7.14730512e+03, -1.41540884e-01, -6.13486028e+03,  8.73356136e-01,
       -7.13443685e+02, -3.98199383e-01]), 'n_active': 6, 'beta1_train': 0.9013466858183475, 'beta0_train': -2391.733623064963, 'beta1_val': -86.34521256566859, 'beta0_val': -2350.2471569851978, 'selected_score': -2391.733623064963, 'evaluations': 275, 'seconds': 0.3193452999985311, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",42,2260.623937521368,6362.7758122271625,0.36757430000579916,0.502877199993236
"[{'theta': array([-4511.83214343]), 'n_active': 1, 'beta1_train': -4083.056826766098, 'beta0_train': -4265.143823507604, 'beta1_val': -4191.405388431111, 'beta0_val': -4249.51649318574, 'selected_score': -4265.143823507604, 'evaluations': 20, 'seconds': 0.046869300000253133, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-2.83097350e+03, -1.37738654e+00, -6.67196650e+02,  6.64123400e-01,
       -4.06624873e+02,  1.46217292e+00]), 'n_active': 6, 'beta1_train': 3629.813985467797, 'beta0_train': 538.898308172349, 'beta1_val': 3797.3354384719423, 'beta0_val': 2877.1874667235834, 'selected_score': 534.4763516501876, 'evaluations': 275, 'seconds': 0.3245692000054987, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",42,6362.7758122271625,1722.1405285575129,0.37143850000575185,0.5050096000049962
"[{'theta': array([-8434.12335939]), 'n_active': 1, 'beta1_train': -4416.006317328252, 'beta0_train': -4448.178223692662, 'beta1_val': -4448.4, 'beta0_val': -4448.4, 'selected_score': -4448.178223692662, 'evaluations': 15, 'seconds': 0.04375719999370631, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-2.06766107e+03,  8.13972845e-01, -8.39344827e+02,  1.71356957e+00,
       -6.54330468e+03,  1.28835968e+00]), 'n_active': 6, 'beta1_train': 3123.399383685124, 'beta0_train': -1016.7407259503527, 'beta1_val': 3214.0170391396805, 'beta0_val': -1004.6517205067486, 'selected_score': -1019.6986429829932, 'evaluations': 275, 'seconds': 0.3293967999925371, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",42,1722.1405285575129,2581.7081210875444,0.37315399998624343,0.5016455000004498
"[{'theta': array([-4629.09971005]), 'n_active': 1, 'beta1_train': -4222.869922827077, 'beta0_train': -4405.625448393373, 'beta1_val': -4444.982921932605, 'beta0_val': -4483.2, 'selected_score': -4405.625448393373, 'evaluations': 20, 'seconds': 0.047525199988740496, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-1.47620614e+03, -1.95556188e+00, -7.07536096e+02, -1.65327011e+00,
       -1.68986309e+03,  2.03819156e-01]), 'n_active': 6, 'beta1_train': 3603.2497557880642, 'beta0_train': -643.1116241831664, 'beta1_val': 3391.4090190989327, 'beta0_val': -843.9361852466361, 'selected_score': -672.3173260775362, 'evaluations': 275, 'seconds': 0.3310310999950161, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",42,2581.7081210875444,2398.993792222226,0.3785562999837566,0.5057350999995833
"[{'theta': array([-2150.20718588]), 'n_active': 1, 'beta1_train': -3897.633361815137, 'beta0_train': -3954.5321797409133, 'beta1_val': -3908.462959638085, 'beta0_val': -3955.2000000000003, 'selected_score': -3954.5321797409133, 'evaluations': 20, 'seconds': 0.043142800001078285, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-6.45130709e+03,  2.85132926e-01, -6.48692496e+02, -6.99771117e-01,
       -1.12559589e+03, -1.53148378e+00]), 'n_active': 6, 'beta1_train': 3905.67800072639, 'beta0_train': -355.30360386999473, 'beta1_val': 4535.830351488095, 'beta0_val': -335.9705657993841, 'selected_score': -391.79786078181706, 'evaluations': 275, 'seconds': 0.3159868000075221, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",42,2398.993792222226,1947.5665698491428,0.3591296000086004,0.4873803999944357
"[{'theta': array([-4052.2168001]), 'n_active': 1, 'beta1_train': -2868.53509624925, 'beta0_train': -2965.633261110926, 'beta1_val': -2841.7859192499996, 'beta0_val': -2967.6, 'selected_score': -2965.633261110926, 'evaluations': 15, 'seconds': 0.03970900000422262, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-7.99214070e+03,  4.27486137e-01, -6.95116983e+02, -4.00929238e-02,
       -4.72391071e+03, -1.44975407e-01]), 'n_active': 6, 'beta1_train': 4505.35654008799, 'beta0_train': 757.051439862206, 'beta1_val': 5649.8204852644785, 'beta0_val': 2236.354203649657, 'selected_score': 741.6966126336175, 'evaluations': 275, 'seconds': 0.35524220000661444, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",42,1947.5665698491428,1848.4076083333334,0.39495120001083706,0.5201517999958014
"[{'theta': array([-4930.34899448]), 'n_active': 1, 'beta1_train': -1821.1247491924987, 'beta0_train': -1832.0622483887794, 'beta1_val': -1879.1649550268055, 'beta0_val': -1879.1649550268055, 'selected_score': -1832.0622483887794, 'evaluations': 15, 'seconds': 0.0375686999905156, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-1.65443482e+03,  1.61327599e+00, -5.31217990e+03, -9.71463672e-01,
       -1.47191127e+03, -1.21580101e-01]), 'n_active': 6, 'beta1_train': 1449.9118680721267, 'beta0_train': -517.3643950932327, 'beta1_val': 1440.1227469665262, 'beta0_val': -480.27910738060524, 'selected_score': -517.3643950932327, 'evaluations': 275, 'seconds': 0.4713835000002291, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",42,1848.4076083333334,1690.208835774409,0.5089521999907447,0.6623996999987867
"[{'theta': array([-7646.68318902]), 'n_active': 1, 'beta1_train': -3159.5338241259165, 'beta0_train': -3178.8119775817368, 'beta1_val': -3152.6410321940225, 'beta0_val': -3153.327415348866, 'selected_score': -3178.8119775817368, 'evaluations': 20, 'seconds': 0.07154019999143202, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-9.50103761e+03, -1.21964577e-01, -7.69603382e+02, -3.64488290e-02,
       -5.48044384e+03,  3.09176161e-01]), 'n_active': 6, 'beta1_train': -2024.8910581679095, 'beta0_train': -4295.43021439238, 'beta1_val': -1580.7786457625402, 'beta0_val': -4197.894270040988, 'selected_score': -4295.43021439238, 'evaluations': 275, 'seconds': 0.43459820000862237, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",42,1690.208835774409,9905.311494882875,0.5061384000000544,0.6795971999963513
"[{'theta': array([-7571.55193198]), 'n_active': 1, 'beta1_train': -4263.515285549422, 'beta0_train': -4373.414533027818, 'beta1_val': -4378.8, 'beta0_val': -4378.8, 'selected_score': -4373.414533027818, 'evaluations': 25, 'seconds': 0.08236650000617374, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-7.68805054e+03, -4.11796551e-02, -1.72438180e+03, -1.24265365e+00,
       -4.98612196e+03,  5.60118495e-01]), 'n_active': 6, 'beta1_train': -676.6169323612091, 'beta0_train': -762.7689871961742, 'beta1_val': -718.6348580498155, 'beta0_val': -718.6348580498155, 'selected_score': -762.7689871961742, 'evaluations': 275, 'seconds': 0.43532029999187216, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",42,9905.311494882875,1752.2031020271997,0.5176867999980459,0.7125904999993509
