slot_index,mean,std,p05,p50,p95
31,0.4395035616438355,0.057022951528426895,0.33726,0.4468,0.52632
32,0.4332564383561644,0.0586474546591719,0.3311,0.4386,0.52254
33,0.44385479452054794,0.06034817617313328,0.33521999999999996,0.4512,0.53224
34,0.4300843835616438,0.05911517481250609,0.32716,0.4356,0.5242000000000001
35,0.3712602739726027,0.05576620752117542,0.27014,0.3744,0.45450000000000007
36,0.5708342465753424,0.07504773242570738,0.43088000000000004,0.5815,0.6814800000000001
37,0.9098520547945206,0.11022203333618974,0.70206,0.9364,1.0593
38,0.9368282191780823,0.1183240280527877,0.71276,0.9609,1.08856
39,0.8758098630136986,0.11875073080661239,0.6524800000000001,0.8892,1.0412400000000002
40,0.875863287671233,0.1264876019486711,0.63566,0.8784,1.0615400000000002
41,0.8601454794520548,0.13335470123913273,0.6202,0.8574,1.0637400000000001
42,0.8441986301369863,0.13104038998088588,0.61066,0.8409,1.05104
43,0.8334449315068493,0.12350388583674657,0.62754,0.8242,1.04248
44,0.8091994520547945,0.12556667736885127,0.59832,0.7974,1.0226400000000002
45,0.7971865753424657,0.13045112247131163,0.5746,0.7873,1.0193
46,0.7644364383561645,0.1288837950149346,0.53908,0.7507,0.97746
47,0.6898906849315067,0.12276978531870984,0.48472,0.6803,0.89598
48,0.859966301369863,0.14341704561868288,0.60514,0.8629,1.09894
49,1.161682191780822,0.1875949410353206,0.81762,1.1859,1.44656
50,1.1682860273972602,0.19140314463814098,0.8165800000000001,1.1959,1.447
51,1.0956,0.18420518190619906,0.76632,1.1236,1.3702
52,1.0849008219178082,0.18855186554188336,0.74548,1.111,1.3658400000000002
53,1.061024383561644,0.19095777782612375,0.70764,1.0908,1.3446799999999999
54,1.0430260273972602,0.17878346972973197,0.7129,1.0653,1.3252599999999999
55,1.0359882191780823,0.16250330575640662,0.74902,1.0482,1.29758
56,1.014678082191781,0.1609271752650489,0.71958,1.0281,1.2654
57,0.9922032876712329,0.16386694248232705,0.68402,1.0035,1.25212
58,0.9700057534246576,0.16245362177302197,0.67482,0.9722,1.2287400000000002
59,0.9422043835616437,0.16082511486029005,0.65456,0.9478,1.19238
60,0.9569432876712329,0.17470560063518514,0.64866,0.9661,1.2689400000000002
61,0.9976506849315068,0.21579597360830963,0.6431,0.9784,1.40068
62,0.9919515068493151,0.21937017898802075,0.63168,0.9741,1.40222
63,0.95878,0.20883657728223498,0.60604,0.9463,1.34612
64,0.9548854794520547,0.2133899436143349,0.60082,0.9284,1.3524
65,0.9839383561643836,0.2233753679839282,0.6216200000000001,0.9578,1.39636
66,0.7990120547945206,0.1972206426368173,0.46492,0.7989,1.16622
67,0.5025016438356165,0.16575196785140403,0.20992000000000002,0.5163,0.7652
68,0.46624027397260276,0.15907478311970907,0.18762,0.4796,0.71748
69,0.5006649315068493,0.16066133521546025,0.20806,0.5186,0.75644
70,0.48273972602739723,0.163699982292805,0.18014,0.497,0.7286
71,0.47846082191780825,0.16313316612429066,0.18378,0.4867,0.72136
72,0.4661709589041096,0.15769636519264138,0.17632,0.4715,0.70958
73,0.4431909589041096,0.15129001198518613,0.16774,0.4454,0.68446
74,0.4411427397260274,0.14959501120958302,0.1668,0.4468,0.67464
75,0.45507616438356163,0.15256018585651934,0.17932,0.4672,0.69632
76,0.44629369863013696,0.15266190790330214,0.16958,0.4596,0.68756
77,0.411341095890411,0.14767427580924625,0.13526,0.4176,0.64126
78,0.5682405479452055,0.1517813773828914,0.29004,0.585,0.7898400000000001
79,0.8278586301369864,0.16345778312419662,0.53928,0.8522,1.06488
80,0.8635953424657535,0.16158300417612412,0.56496,0.8878,1.09826
81,0.8415671232876712,0.15729977405934756,0.5519,0.8595,1.0753
82,0.8617860273972603,0.1547477512505275,0.57286,0.8828,1.08766
83,0.862324109589041,0.1514374214789963,0.5785199999999999,0.8904,1.07898
84,0.9025854794520549,0.167671123734408,0.59944,0.9105,1.18178
85,0.9754490410958903,0.2139490299828147,0.6251599999999999,0.9523,1.3639000000000001
86,1.000205479452055,0.21939539504564784,0.64506,0.9751,1.39446
87,0.9977819178082192,0.2072422124759781,0.64098,0.9847,1.36838
88,1.0270865753424658,0.20940755114683143,0.66362,1.0153,1.39258
89,1.0906063013698628,0.21878870544780324,0.7355200000000001,1.0726,1.47616
90,0.9376180821917808,0.1885539790497673,0.61834,0.9366,1.26354
91,0.6694043835616439,0.15061477717698238,0.39056,0.6851,0.8788
92,0.6599739726027397,0.1453536006192676,0.38066,0.6792,0.8614200000000001
93,0.7217131506849315,0.14806339772161015,0.44639999999999996,0.7503,0.9363600000000001
94,0.730755890410959,0.14949990992653736,0.45067999999999997,0.7635,0.94358
95,0.7534054794520548,0.14833944735372476,0.48294,0.7824,0.96594
96,0.7823328767123289,0.14683913241889146,0.5139199999999999,0.8107,0.9876
97,0.8055224657534248,0.14612725656676195,0.52684,0.829,1.0091
98,0.8271400000000001,0.14646634805418193,0.5489,0.8604,1.02316
99,0.8519134246575343,0.14755825452109692,0.58726,0.8888,1.04912
100,0.8790728767123286,0.1462299778260675,0.60824,0.9152,1.0795000000000001
101,0.9024243835616439,0.14168411085388374,0.6405799999999999,0.9388,1.0953
102,0.9162898630136989,0.15287261141845862,0.63722,0.9589,1.11114
103,0.9263846575342466,0.17067067570450017,0.62426,0.988,1.12564
104,0.9461676712328769,0.16667860401696014,0.6505799999999999,1.0067,1.13388
105,0.9741663013698629,0.1594186192139223,0.67876,1.0431,1.14464
106,0.9862210958904108,0.16443485988075796,0.68574,1.063,1.15096
107,0.9759786301369864,0.170341933264421,0.6712,1.0632,1.14228
108,1.0741761643835617,0.13552296214103285,0.83804,1.1351,1.22138
109,1.2312750684931506,0.08638463433766935,1.06636,1.249,1.34688
110,1.2560512328767124,0.07986524149997844,1.11234,1.2684,1.3732600000000001
111,1.2446528767123288,0.0876649932394324,1.09236,1.2616,1.3747
112,1.2545246575342466,0.09000623871957078,1.09402,1.265,1.4057
113,1.252178904109589,0.08963571615019277,1.09032,1.2613,1.38454
114,1.2881276712328769,0.11017259374447469,1.09654,1.2891,1.48676
115,1.3465827397260275,0.16463839014732293,1.10762,1.312,1.65296
116,1.352309315068493,0.16878770591086945,1.0996,1.3118,1.66738
117,1.3444901369863012,0.15890606361434384,1.10282,1.3062,1.65124
118,1.3482487671232877,0.16323036794367632,1.11974,1.3114,1.65718
119,1.3489506849315067,0.1623486567087862,1.11388,1.3086,1.66514
120,1.3473123287671234,0.16211995283824712,1.1117,1.3086,1.65974
121,1.348163287671233,0.16492972075763426,1.10746,1.3079,1.6610800000000001
122,1.3513334246575344,0.1662009524082892,1.1124399999999999,1.3106,1.67394
123,1.3400183561643835,0.1624628595450184,1.10602,1.2996,1.6494
124,1.3489093150684932,0.16176201450862016,1.11794,1.3101,1.64806
125,1.3952457534246576,0.1714407185047317,1.1578199999999998,1.344,1.7139199999999999
126,1.2226331506849317,0.13697096791552954,1.00404,1.1956,1.48536
127,0.9331597260273973,0.09779818383573784,0.75798,0.9449,1.09424
128,0.9068391780821917,0.09213861816973684,0.74156,0.9158,1.05118
129,0.9371194520547946,0.09342347996044106,0.7722600000000001,0.9455,1.08996
130,0.9370676712328767,0.09584992634065166,0.76714,0.9458,1.0956000000000001
131,0.9870958904109588,0.09667149916203102,0.8159,0.9985,1.14144
132,0.7764457534246576,0.08654043295917302,0.62504,0.7842,0.9267200000000001
133,0.4209175342465754,0.0745690083588262,0.29456,0.4223,0.55038
134,0.385867397260274,0.0761806382842132,0.26066,0.3833,0.5199
135,0.43682164383561645,0.07628200525723565,0.31112,0.4365,0.5774
136,0.41980246575342467,0.07139147272245967,0.30822,0.4151,0.5559000000000001
137,0.41858493150684933,0.0692397931179947,0.31332,0.4161,0.54236
138,0.42405123287671237,0.06953806155861213,0.30914,0.4248,0.54528
139,0.42366575342465757,0.07035949686982432,0.30664,0.4237,0.5474
140,0.42478191780821917,0.0675557397591367,0.3125,0.4234,0.5409200000000001
141,0.42404575342465756,0.06774789580552437,0.31226,0.4251,0.5414399999999999
142,0.4220134246575342,0.0711264828281604,0.30319999999999997,0.421,0.5516
143,0.42401698630136986,0.07051675900455623,0.30334,0.4254,0.54896
144,0.4271490410958904,0.06448512310463732,0.32516,0.4259,0.5453399999999999
